Sr_no,Label,F1 (t-2),F2 (t-2),F3 (t-2),F4 (t-2),F5 (t-2),F6 (t-2),F7 (t-2),F8 (t-2),F9 (t-2),F10 (t-2),F11 (t-2),F12 (t-2),F13 (t-2),F1 (t-1),F2 (t-1),F3 (t-1),F4 (t-1),F5 (t-1),F6 (t-1),F7 (t-1),F8 (t-1),F9 (t-1),F10 (t-1),F11 (t-1),F12 (t-1),F13 (t-1),F1 (t-0),F2 (t-0),F3 (t-0),F4 (t-0),F5 (t-0),F6 (t-0),F7 (t-0),F8 (t-0),F9 (t-0),F10 (t-0),F11 (t-0),F12 (t-0),F13 (t-0)
1194,1,0.016609234681926,0.016164466586268,0.003698842271783,0.104341268678273,0.000523605150215,14.2952431520795,0.95,0.006216215175243,1.92347500594267,0.007104071030109,0.035634037,0.004260626145993,0.007806409125367,0.006741178826005,0.003042336554222,0.001065593281034,0.110019512587684,0.004966113081116,2.91496256747843,0.9,0.006523466030827,2.23481169968526,0.007284814611389,0.067486879,0.000162421923079,0.00061324585921,0.000431448361901,-0.000634144919132,-0.00179469428325,0.047923093663277,0.006923922022841,1.39673990599268,0.85,0.005663464781968,0.983540632325342,0.007311679369382,0.050196902,-0.004756453525114,0.004003856916516
1195,1,0.006741178826005,0.003042336554222,0.001065593281034,0.110019512587684,0.004966113081116,2.91496256747843,0.9,0.006523466030827,2.23481169968526,0.007284814611389,0.067486879,0.000162421923079,0.00061324585921,0.000431448361901,-0.000634144919132,-0.00179469428325,0.047923093663277,0.006923922022841,1.39673990599268,0.85,0.005663464781968,0.983540632325342,0.007311679369382,0.050196902,-0.004756453525114,0.004003856916516,0.002036290600326,0.003830984883576,0.003648178484536,0.004589155096146,0.005841151250159,1.23670139136966,0.8,0.005927627287066,1.12643200797124,0.007113977085015,0.029645356,-0.001711338208048,-1.21046405823222e-05
1196,1,0.000431448361901,-0.000634144919132,-0.00179469428325,0.047923093663277,0.006923922022841,1.39673990599268,0.85,0.005663464781968,0.983540632325342,0.007311679369382,0.050196902,-0.004756453525114,0.004003856916516,0.002036290600326,0.003830984883576,0.003648178484536,0.004589155096146,0.005841151250159,1.23670139136966,0.8,0.005927627287066,1.12643200797124,0.007113977085015,0.029645356,-0.001711338208048,-1.21046405823222e-05,0.002832075122244,-0.000816103362292,0.002110406090402,0.070871680626681,0.006770612659944,1.6260088315224,0.75,0.006115960987556,1.1681091338568,0.007113134608447,0.022330002,0.001583621568526,0.002609864560972
1197,-1,0.002036290600326,0.003830984883576,0.003648178484536,0.004589155096146,0.005841151250159,1.23670139136966,0.8,0.005927627287066,1.12643200797124,0.007113977085015,0.029645356,-0.001711338208048,-1.21046405823222e-05,0.002832075122244,-0.000816103362292,0.002110406090402,0.070871680626681,0.006770612659944,1.6260088315224,0.75,0.006115960987556,1.1681091338568,0.007113134608447,0.022330002,0.001583621568526,0.002609864560972,0.005070911118853,0.002960505028451,0.001556407523868,0.037343541017472,0.006702186851911,3.04452813445055,0.7,0.005854906430248,1.16097845260125,0.007143983942645,0.019256007,0.003301198087305,0.010673197552521
1198,1,0.002832075122244,-0.000816103362292,0.002110406090402,0.070871680626681,0.006770612659944,1.6260088315224,0.75,0.006115960987556,1.1681091338568,0.007113134608447,0.022330002,0.001583621568526,0.002609864560972,0.005070911118853,0.002960505028451,0.001556407523868,0.037343541017472,0.006702186851911,3.04452813445055,0.7,0.005854906430248,1.16097845260125,0.007143983942645,0.019256007,0.003301198087305,0.010673197552521,-0.004322090056295,-0.005878497580163,-0.000151401727951,-0.024639281334692,0.006347970342283,1.76059861176169,0.65,0.006020495894525,1.05888051063887,0.007173476174586,0.019008448,0.002916658435379,-0.00222423980609
1199,-1,0.005070911118853,0.002960505028451,0.001556407523868,0.037343541017472,0.006702186851911,3.04452813445055,0.7,0.005854906430248,1.16097845260125,0.007143983942645,0.019256007,0.003301198087305,0.010673197552521,-0.004322090056295,-0.005878497580163,-0.000151401727951,-0.024639281334692,0.006347970342283,1.76059861176169,0.65,0.006020495894525,1.05888051063887,0.007173476174586,0.019008448,0.002916658435379,-0.00222423980609,-0.000412202893781,-0.00026080116583,0.00250424507753,-0.011001854116113,0.005677875746755,0.9992516015374,0.6,0.006025453321627,0.80361120862731,0.007082917252024,0.018476281,0.000338430952741,0.001743670335305
1200,-1,-0.004322090056295,-0.005878497580163,-0.000151401727951,-0.024639281334692,0.006347970342283,1.76059861176169,0.65,0.006020495894525,1.05888051063887,0.007173476174586,0.019008448,0.002916658435379,-0.00222423980609,-0.000412202893781,-0.00026080116583,0.00250424507753,-0.011001854116113,0.005677875746755,0.9992516015374,0.6,0.006025453321627,0.80361120862731,0.007082917252024,0.018476281,0.000338430952741,0.001743670335305,-0.002367144149005,-0.004871389226535,0.002047359580093,0.113787301794142,0.005017969756561,2.82101484054401,0.55,0.0060310956023,1.13226394590313,0.006676736950497,0.017705401,0.006527589674482,0.00778144048512
1201,-1,-0.000412202893781,-0.00026080116583,0.00250424507753,-0.011001854116113,0.005677875746755,0.9992516015374,0.6,0.006025453321627,0.80361120862731,0.007082917252024,0.018476281,0.000338430952741,0.001743670335305,-0.002367144149005,-0.004871389226535,0.002047359580093,0.113787301794142,0.005017969756561,2.82101484054401,0.55,0.0060310956023,1.13226394590313,0.006676736950497,0.017705401,0.006527589674482,0.007781440485122,-2.53022565424033e-05,-0.002072661836635,0.001550688428589,0.105240517582106,0.0068359375,1.78159283539305,0.5,0.004589775873822,1.07542330759332,0.006708744639714,0.017521377,0.000448129068669,0.003293756027855
1202,1,-0.002367144149005,-0.004871389226535,0.002047359580093,0.113787301794142,0.005017969756561,2.82101484054401,0.55,0.0060310956023,1.13226394590313,0.006676736950497,0.017705401,0.006527589674482,0.007781440485122,-2.53022565424033e-05,-0.002072661836635,0.001550688428589,0.105240517582106,0.0068359375,1.78159283539305,0.5,0.004589775873822,1.07542330759332,0.006708744639714,0.017521377,0.000448129068669,0.003293756027855,-0.008776221755431,-0.01032691018402,0.001445406410777,0.082311328818571,0.004263863966504,2.047100417768,0.45,0.003506479515006,1.05604265266474,0.006867537334261,0.01746809,-0.00634146925043,-0.004318029552275
1203,1,-2.53022565424033e-05,-0.002072661836635,0.001550688428589,0.105240517582106,0.0068359375,1.78159283539305,0.5,0.004589775873822,1.07542330759332,0.006708744639714,0.017521377,0.000448129068669,0.003293756027855,-0.008776221755431,-0.01032691018402,0.001445406410777,0.082311328818571,0.004263863966504,2.047100417768,0.45,0.003506479515006,1.05604265266474,0.006867537334261,0.01746809,-0.00634146925043,-0.004318029552275,0.006521753028037,0.00507634661726,-0.002064717765725,0.090050436262825,0.006003809782978,1.78448047306072,0.4,0.003045067361048,0.896706569016771,0.006635548757068,0.01872404,-0.004143978990864,0.001909286442528
1204,1,-0.008776221755431,-0.01032691018402,0.001445406410777,0.082311328818571,0.004263863966504,2.047100417768,0.45,0.003506479515006,1.05604265266474,0.006867537334261,0.01746809,-0.00634146925043,-0.004318029552275,0.006521753028037,0.00507634661726,-0.002064717765725,0.090050436262825,0.006003809782978,1.78448047306072,0.4,0.003045067361048,0.896706569016771,0.006635548757068,0.01872404,-0.004143978990864,0.001909286442528,-0.004328956079425,-0.0022642383137,0.002484452260909,0.039294368920399,0.005368818177163,1.12893933787869,0.35,0.003262775681529,0.857124024712333,0.006142555441433,0.018648907,0.011800667190939,0.001114370427022
