sr_no,Date,Label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Test/Train
1194,2012-12-04,1,0.000431448361901,-0.000634144919132,-0.00179469428325,0.047923093663277,0.006923922022841,1.39673990599268,0.85,0.005663464781968,0.983540632325342,0.007311679369382,0.050196902,-0.004756453525114,0.004003856916516,Train
1195,2012-12-05,1,0.002036290600326,0.003830984883576,0.003648178484536,0.004589155096146,0.005841151250159,1.23670139136966,0.8,0.005927627287066,1.12643200797124,0.007113977085015,0.029645356,-0.001711338208048,-1.21046405823222e-05,Train
1196,2012-12-06,1,0.002832075122244,-0.000816103362292,0.002110406090402,0.070871680626681,0.006770612659944,1.6260088315224,0.75,0.006115960987556,1.1681091338568,0.007113134608447,0.022330002,0.001583621568526,0.002609864560972,Train
1197,2012-12-07,-1,0.005070911118853,0.002960505028451,0.001556407523868,0.037343541017472,0.006702186851911,3.04452813445055,0.7,0.005854906430248,1.16097845260125,0.007143983942645,0.019256007,0.003301198087305,0.010673197552521,Train
1198,2012-12-10,1,-0.004322090056295,-0.005878497580163,-0.000151401727951,-0.024639281334692,0.006347970342283,1.76059861176169,0.65,0.006020495894525,1.05888051063887,0.007173476174586,0.019008448,0.002916658435379,-0.00222423980609,Train
1199,2012-12-11,-1,-0.000412202893781,-0.00026080116583,0.00250424507753,-0.011001854116113,0.005677875746755,0.9992516015374,0.6,0.006025453321627,0.80361120862731,0.007082917252024,0.018476281,0.000338430952741,0.001743670335305,Train
1200,2012-12-12,-1,-0.002367144149005,-0.004871389226535,0.002047359580093,0.113787301794142,0.005017969756561,2.82101484054401,0.55,0.0060310956023,1.13226394590313,0.006676736950497,0.017705401,0.006527589674482,0.007781440485122,Train
1201,2012-12-13,-1,-2.53022565424033e-05,-0.002072661836635,0.001550688428589,0.105240517582106,0.0068359375,1.78159283539305,0.5,0.004589775873822,1.07542330759332,0.006708744639714,0.017521377,0.000448129068669,0.003293756027855,Train
1202,2012-12-14,1,-0.008776221755431,-0.01032691018402,0.001445406410777,0.082311328818571,0.004263863966504,2.047100417768,0.45,0.003506479515006,1.05604265266474,0.006867537334261,0.01746809,-0.00634146925043,-0.004318029552275,Train
1203,2012-12-17,1,0.006521753028037,0.00507634661726,-0.002064717765725,0.090050436262825,0.006003809782978,1.78448047306072,0.4,0.003045067361048,0.896706569016771,0.006635548757068,0.01872404,-0.004143978990864,0.001909286442528,Train
1204,2012-12-18,1,-0.004328956079425,-0.0022642383137,0.002484452260909,0.039294368920399,0.005368818177163,1.12893933787869,0.35,0.003262775681529,0.857124024712333,0.006142555441433,0.018648907,0.011800667190939,0.001114370427022,Train
1205,2012-12-19,-1,0.006693063295099,0.004208611034191,0.003737378087674,0.098094566393197,0.00544363044363,2.90557854648832,0.3,0.003615131942359,1.14629096407627,0.006167472106784,0.018256941,0.011421148426265,0.006375476095256,Train
1206,2012-12-20,-1,0.003031377049776,-0.000706001037898,-0.001152524534595,0.175097344813495,0.002917566109012,1.88975731686039,0.25,0.003980339809937,1.13210227370813,0.006158550859892,0.019311403,-0.007618159372241,0.00194751687966,Train
1207,2012-12-21,-1,-0.002651952000642,-0.001499427466047,-0.005265772469823,0.391859750236418,0.002493070110202,3.5287893633519,0.2,0.003687741215134,0.932086379505034,0.006168171850508,0.019215316,0.005473186088517,0.000469342798336,Train
1208,2012-12-24,-1,-0.013195434385855,-0.007929661916032,0.003061901366561,0.314679608477097,0.000974742206338,5.21149442136684,0.15,0.004452690396015,1.04330237543669,0.006948597819838,0.01815102,-0.009423002107228,-0.004686346015218,Train
1209,2012-12-26,1,0.002073565354134,-0.000988336012426,0.000928722732272,0.077626482489826,0.001673568714511,3.27971629093341,0.05,0.004564959475365,0.630691289946654,0.006932173109573,0.024182644,-0.002443285858122,-0.004686346015218,Train
1210,2012-12-27,-1,0.008183893613445,0.007255170881173,0.002001799753721,0.16729516848224,0.001380046057979,5.12101755121655,0.0,0.005245330880403,0.618811809808564,0.007080742025418,0.01986349,-0.004798901880981,-0.004686346015218,Train
1211,2012-12-28,-1,-0.00671026741777,-0.008712067171491,0.000370907378565,0.025642690097504,0.000698454881518,7.44749064165859,0.96,0.005663367151233,1.02810739355682,0.006522422794957,0.021465184,-0.001219198651338,0.002569954154808,Train
1212,2012-12-31,1,0.004080831252105,0.00370992387354,0.004097696697444,0.06114339564474,0.007819441976186,1.58895983963802,0.92,0.005695069557931,0.690212829742181,0.005550845678626,0.020380325,-0.011111501189478,-0.005696797032908,Train
1213,2013-01-01,1,-0.000470339240842,-0.004568035938286,0.00104956033061,0.020339418734881,0.007899950889909,0.996001591989078,0.88,0.00526985770762,0.538719563210442,0.00516600317562,0.020200209,0.016800106652478,-0.005696797032908,Train
1214,2013-01-02,1,0.009323394668007,0.008273834337396,0.0,0.077589224601794,0.009519648453582,1.73019439567233,0.84,0.005675539007765,0.657256911822593,0.005410098011906,0.018339653,0.016800106652478,-0.005696797032908,Train
1215,2013-01-03,-1,0.004674865175087,0.004674865175087,0.00372091914201,0.060650087086003,0.00707462562049,3.25816370743292,0.8,0.005723981764106,0.985383171665669,0.00557555631751,0.020062598,0.025086044824865,0.021622330540911,Train
1216,2013-01-04,1,0.000645952056381,-0.003074967085629,-0.001408380926383,0.076304524840793,0.005000416007987,1.24706631563845,0.76,0.005438886238531,0.863502672270962,0.005586205890409,0.02045244,-0.002087762027969,-0.002876047509988,Train
